,CA,TX,MT,OH,KS
2017-09-13,1610.0,607.0,,437.0,678.0
2017-09-14,1942.0,632.0,338.0,522.0,786.0
2017-09-16,2481.0,555.0,326.0,544.0,754.0
2017-09-15,3032.0,709.0,359.0,497.0,792.0
2017-10-18,1592.0,653.0,323.0,460.0,634.0
2017-10-19,2227.0,680.0,382.0,463.0,744.0
2017-10-17,1682.0,585.0,286.0,480.0,596.0
2017-10-16,2129.0,634.0,292.0,436.0,652.0
2017-10-20,2920.0,810.0,362.0,505.0,759.0
2017-10-21,2316.0,638.0,274.0,533.0,644.0
2017-10-23,2098.0,681.0,268.0,414.0,614.0
2017-10-22,2616.0,670.0,370.0,412.0,748.0
2017-10-28,2191.0,561.0,243.0,506.0,645.0
2017-10-30,1888.0,589.0,251.0,440.0,542.0
2017-10-29,2268.0,670.0,241.0,380.0,637.0
2017-10-24,1514.0,597.0,293.0,414.0,506.0
2017-10-25,1611.0,668.0,297.0,463.0,524.0
2017-10-27,2690.0,761.0,289.0,503.0,639.0
2017-10-26,1889.0,733.0,296.0,478.0,620.0
2017-10-09,2295.0,709.0,272.0,459.0,603.0
2017-10-10,1640.0,606.0,287.0,492.0,584.0
2017-10-11,1688.0,658.0,301.0,417.0,622.0
2017-10-12,2000.0,662.0,299.0,458.0,755.0
2017-10-15,2672.0,731.0,291.0,385.0,768.0
2017-10-13,2614.0,742.0,323.0,488.0,817.0
2017-10-14,2350.0,618.0,275.0,614.0,723.0
2017-10-01,2552.0,689.0,316.0,399.0,824.0
2017-10-02,1977.0,618.0,301.0,461.0,749.0
2017-10-03,1571.0,573.0,285.0,483.0,627.0
2017-10-08,2538.0,632.0,307.0,405.0,893.0
2017-10-07,2494.0,642.0,279.0,560.0,720.0
2017-10-06,2737.0,815.0,336.0,487.0,862.0
2017-10-04,1638.0,618.0,283.0,385.0,626.0
2017-10-05,1870.0,657.0,268.0,416.0,719.0
2017-10-31,1455.0,542.0,237.0,429.0,424.0
2017-11-18,3612.0,1116.0,282.0,442.0,929.0
2017-11-17,2679.0,855.0,305.0,463.0,708.0
2017-11-16,1782.0,,258.0,455.0,549.0
2017-11-15,1603.0,657.0,233.0,481.0,462.0
2017-11-14,1517.0,496.0,273.0,449.0,430.0
2017-11-13,2047.0,551.0,238.0,459.0,552.0
2017-11-11,2002.0,595.0,228.0,527.0,571.0
2017-11-12,2748.0,653.0,284.0,397.0,641.0
2017-11-10,3111.0,711.0,298.0,499.0,700.0
2017-11-09,1985.0,658.0,252.0,467.0,572.0
2017-11-06,2007.0,551.0,192.0,480.0,496.0
2017-11-07,1568.0,551.0,252.0,504.0,383.0
2017-11-08,1571.0,610.0,262.0,450.0,450.0
2017-11-03,2361.0,726.0,289.0,552.0,635.0
2017-11-04,2016.0,601.0,183.0,543.0,521.0
2017-11-05,2509.0,,384.0,479.0,625.0
2017-11-01,1736.0,706.0,236.0,482.0,524.0
2017-11-02,1821.0,689.0,301.0,485.0,585.0
2017-11-25,5089.0,994.0,268.0,604.0,1090.0
2017-11-26,5798.0,1571.0,420.0,458.0,1648.0
2017-11-27,3185.0,759.0,224.0,479.0,692.0
2017-11-24,3293.0,763.0,240.0,590.0,622.0
2017-11-23,5005.0,734.0,198.0,546.0,524.0
2017-11-22,5045.0,1308.0,356.0,506.0,1389.0
2017-11-21,3444.0,972.0,251.0,470.0,866.0
2017-11-20,2718.0,793.0,196.0,496.0,662.0
2017-11-19,3528.0,974.0,292.0,403.0,861.0
2017-11-29,1508.0,651.0,231.0,402.0,451.0
2017-11-28,1636.0,639.0,227.0,438.0,500.0
2017-11-30,1667.0,653.0,265.0,473.0,439.0
2017-12-08,2035.0,743.0,246.0,478.0,456.0
2017-12-07,1547.0,677.0,218.0,462.0,416.0
2017-12-06,1474.0,622.0,242.0,458.0,404.0
2017-12-05,1391.0,554.0,204.0,471.0,380.0
2017-12-03,1955.0,673.0,216.0,412.0,506.0
2017-12-04,1716.0,579.0,182.0,448.0,410.0
2017-12-02,1990.0,654.0,221.0,664.0,490.0
2017-12-01,2168.0,726.0,206.0,496.0,501.0
2017-12-09,1859.0,653.0,215.0,523.0,497.0
2017-12-10,1966.0,704.0,234.0,415.0,489.0
2017-12-11,1705.0,614.0,192.0,408.0,426.0
2017-12-12,1385.0,590.0,218.0,406.0,420.0
2017-12-13,1479.0,672.0,231.0,392.0,484.0
2017-12-14,1731.0,691.0,240.0,455.0,575.0
2017-12-15,2496.0,815.0,245.0,459.0,585.0
